status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
107861655950370_1408870409182815,Index Vijesti: Borbe na rubu Starog grada dovele su do velikog broja civilnih žrtava.,Iračke snage nastavljaju ofenzivu u Mosulu,link,http://www.index.hr/vijesti/clanak/iracke-snage-nastavljaju-ofenzivu-u-mosulu/959446.aspx,2017-03-27 05:14:28,1,2,0,1,0,0,0,0,0
107861655950370_1408870362516153,Index Vijesti: NATO se prilagođava novim prijetnjama.,NATO će potrošiti tri milijarde eura na unapređenje obrane,link,http://www.index.hr/vijesti/clanak/nato-ce-potrositi-tri-milijarde-eura-na-unapredenje-obrane-/959447.aspx,2017-03-27 05:14:23,1,0,0,1,0,0,0,0,0
107861655950370_1408870329182823,Index Sport: Hrvati pokorili Južnu Ameriku,Hrvatski judo dvojac osvojio zlato i broncu pa zapalio društvene mreže,link,http://www.index.hr/sport/clanak/hrvatski-judo-dvojac-osvojio-zlato-i-broncu-pa-zapalio-drustvene-mreze/959441.aspx,2017-03-27 05:14:18,5,0,0,5,0,0,0,0,0
107861655950370_1408870312516158,"Klepetane, gdje si? Malena te čeka! <3","Malenoj u gnijezdo sletio udvarač, ali ona još čeka samo Klepetana",link,http://www.index.hr/black/clanak/malenoj-u-gnijezdo-sletio-udvarac-ali-ona-jos-ceka-samo-klepetana/959444.aspx,2017-03-27 05:14:15,94,5,4,86,5,1,2,0,0
107861655950370_1408870262516163,Index Vijesti: Odustaju od potpune zabrane rada nedjeljom.,Markićka na konferenciji objasnila koji je njihov plan za rad nedjeljom,link,http://www.index.hr/vijesti/clanak/markicka-na-konferenciji-objasnila-koji-je-njihov-plan-za-rad-nedjeljom/959443.aspx,2017-03-27 05:14:10,2,8,1,2,0,0,0,0,0
107861655950370_1408870215849501,,Realova zvijezda ružnom gestom razbijesnila navijače,link,http://www.index.hr/sport/clanak/realova-zvijezda-ruznom-gestom-razbijesnila-navijace/959448.aspx,2017-03-27 05:14:07,1,0,0,1,0,0,0,0,0
107861655950370_1408870172516172,Jako dobro izgleda ;),FOTO Guze posute šljokicama novi su trend na Instagramu,link,http://www.index.hr/black/clanak/foto-guze-posute-sljokicama-novi-su-trend-na-instagramu/959437.aspx,2017-03-27 05:14:01,1,1,0,1,0,0,0,0,0
107861655950370_1408870135849509,Index Sport: Dinamo ga može dovesti za siću.,Dinamo krade Milanovog napadača? Evo s kojim velikanima se za njega bori,link,http://www.index.hr/sport/clanak/dinamo-krade-milanovog-napadaca-evo-s-kojim-velikanima-se-za-njega-bori/959445.aspx,2017-03-27 05:13:56,7,0,0,7,0,0,0,0,0
107861655950370_1408870099182846,"Index Sport: NEVJEROJATAN TRANSFER 

Ovo je neizbježno, tvrdi Realovo klupsko glasilo.",Bio bi to Realov posao stoljeća: U senzacionalnoj razmjeni desetki stiže jedan od najboljih na svijetu?,link,http://www.index.hr/sport/clanak/bio-bi-to-realov-posao-stoljeca-u-senzacionalnoj-razmjeni-desetki-stize-jedan-od-najboljih-na-svijetu/959434.aspx,2017-03-27 05:13:50,8,0,0,8,0,0,0,0,0
107861655950370_1408832295853293,"Index Rouge: Junakinje mijenjaju svijet - više ili manje, ali svaka na svoj način ;)",Moć žene: O ovim snažnim ženama morate znati više,link,http://www.index.hr/rouge/clanak/moc-zene-o-ovim-snaznim-zenama-morate-znati-vise/959418.aspx,2017-03-27 04:36:52,3,1,0,3,0,0,0,0,0
